processo,uf,municipio,parecer_licitacao,modo_processamento,numeroItem,descricao,classificacao,grau_confianca,produto_referencia,categoria_portfolio,subcategoria_portfolio,motivos_pro,motivos_contra,sinais_lexicais,observacao
17709197000135-1-000125/2026,MG,Além Paraíba,NAO_ADERENTE,meepp,1,VEICULO TRICICLO ELETRICO MOTOTIZADO,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,1,"ABAFADOR PARA COMBATE INCENDIO ABAFADOR PARA COMBATE A INCENDIO FLORESTAL - CABO: ALUMINIO COM APROXIMADAMENTE 1,5 METROS; BASE: EM BORRACHA; MEDIDAS: 250MM LARGURA X 500MM COMPRIMENTO X 6MM ESPESSURA",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,2,ADAPTADOR MANGUEIRA/EQUIPAMENTO FEMEA 1 1/2 ADAPTADOR MANGUEIRA/EQUIPAMENTO COMBATE INCENDIO - TIPO DE ADAPTADOR: STORZ; TIPO ROSCA: FEMEA; DIAMETRO DA MANGUEIRA: 1 1/2 POLEGADA; FIO DE ROSCA: 5 FIOS DE 2 1/2 POLEGADA;,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,3,"ADAPTADOR MANGUEIRA/EQUIPAMENTO FEMEA 1,5 ADAPTADOR MANGUEIRA/EQUIPAMENTO COMBATE INCENDIO - TIPO DE ADAPTADOR: REDUCAO STORZ; TIPO ROSCA: FEMEA; DIAMETRO DA MANGUEIRA: 1,5 POLEGADAS PARA 2,5 POLEGADAS; FIO DE ROSCA: 5 FIOS;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,4,"ADAPTADOR MANGUEIRA/EQUIPAMENTO FEMEA 2,5 ADAPTADOR MANGUEIRA/EQUIPAMENTO COMBATE INCENDIO - TIPO DE ADAPTADOR: ADAPTADOR STORZ; TIPO ROSCA: FEMEA; DIAMETRO DA MANGUEIRA: 2,5 POLEGADAS; FIO DE ROSCA: 5 FIOS;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,5,"ADAPTADOR MANGUEIRA/EQUIPAMENTO MACHO 2,5 ADAPTADOR MANGUEIRA/EQUIPAMENTO COMBATE INCENDIO - TIPO DE ADAPTADOR: STORZ; TIPO ROSCA: MACHO; DIAMETRO DA MANGUEIRA: 2,5 POLEGADA; FIO DE ROSCA: 5 FIOS;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,6,"ALAVANCA COM PONTEIRA E CORTE ALAVANCA COM PONTEIRA E CORTE - MATERIA-PRIMA: ACO TEMPERADO; MEDIDAS: 1 POLEGADA X 1,5M, COM PONTA E CORTE;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,7,"ALICATE CORTA A FRIO DE 24&039;&039; ALICATE CORTA A FRIO DE 24” / TAMANHO: 24 POLEGADAS (600MM), UM TAMANHO INTERMEDIÁRIO QUE OFERECE BOM ALCANCE E PODER DE CORTE. FUNÇÃO: CORTAR MATERIAIS COMO VERGALHÕES, BARRAS DE AÇO, CORRENTES, CADEADOS, PARAFUSOS E PREGOS. MECANISMO: SISTEMA DE ALAVANCA QUE TRANSFORMA A FORÇA NO CABO EM FORÇA DE CORTE MUITO MAIOR NA PONTA (EX: 22KG NO CABO PARA 1800KG NA PON…",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,8,"ALICATE UNIVERSAL AÇO CROMO ALICATE UNIVERSAL -MATERIAL: AÇO CROMO VANÁDIO (CRV) É O PADRÃO PARA RESISTÊNCIA E DURABILIDADE. ISOLAÇÃO: PARA ELETRICISTAS, ISOLAMENTO DE 1000V (CA) OU 1500V (CC), EM CONFORMIDADE COM NORMAS COMO NR10 E IEC 60900, É CRUCIAL. DUREZA (HRC): GERALMENTE ENTRE 46-56 HRC, COM O GUME DE CORTE PODENDO TER TÊMPERA POR INDUÇÃO PARA MAIOR DUREZA (62-65 HRC EM ALGUNS MODELOS). TA…",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,9,"ARMÁRIO DE COZINHA ARMÁRIO DE COZINHA MATERIAL: AÇO QUANTIDADE DE PORTAS: 06 MATERIAL DAS DOBRADIÇAS: AÇO 26MM QUANTIDADE DE GAVETAS: 01 MATERIAL DA CORREDIÇA: TELESCÓPICAS DIMENSÕES: ALTURA: 182 CM LARGURA: 105 CM PROFUNDIDADE: 45 CM PESO: 32,04 KG COR: BRANCO",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,10,"ARMÁRIO ROUPEIRO DE AÇO ARMÁRIO ROUPEIRO DE AÇO ROUPEIRO PARA VESTIARIO - MATERIA-PRIMA: ACO CHAPA (0,50MM, 0,65MM OU 0,80MM); VAOS/PORTAS: 04 VAOS COM 04 PORTAS; DIMENSOES: 500MM X 450MM X 822MM (LARG.,PROF.E ALT.);",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,11,"BALACLAVA PARA COMBATE A INCENDIO COMPOSICAO (1): CAPUZ PARA PROTECAO DA FACE, CABECA E PESCOCO; COMPOSICAO (2): COM ABERTURA TOTAL PARA NARIZ, OLHOS E BOCA; FINALIDADE: PROTECAO CONTRA CHAMA DIRETA E CALOR IRRADIADO; MATERIA PRIMA: 100% MALHA DE META-ARAMIDA, 100% ANTICHAMA; GRAMATURA: 215G/M2 COM +OU-10% DE TOLERANCIA EM CADA CAMADA;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,12,BATERIA PARA DESFIBRILADOR BATERIA PARA DESFIBRILADOR CARDIACO - FUNCOES (1): RESSUSCITACAO PACIENTE PARADA CARDIORESPIRATORIA; FUNCOES (2): TRATAMENTO DE ARRITMIA CARDIACA; ALIMENTACAO: BATERIA RECARREGAVEL OU NAO RECARREGAVEL;,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,13,"BINOCULO 10X50 BINOCULO -  AMPLIAÇÃO E ABERTURA:  10X50  AMPLIAÇÃO DE 10 VEZES E UM DIÂMETRO DE LENTE OBJETIVA DE 50 MM. MATERIAL: CORPO EMBORRACHADO, PROVA DÁGUA (WATERPROOF) E, PREFERENCIALMENTE, PREENCHIDA COM NITROGÊNIO (PARA EVITAR EMBAÇAMENTO INTERNO. QUALIDADE ÓPTICA: LENTES COM REVESTIMENTO MULTIRREVESTIDO (FULLYMULTI-COATED) PARA ALTA TRANSMISSÃO DE LUZ E IMAGENS NÍTIDAS. PRISMAS DO TIPO …",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,14,"BOLSA RESGATE TERMICA BOLSA RESGATE PARA A CONDICIONAR EQUIPAMENTOS MALA PARA RESGATE - TIPO: TERMICA, PARA ACONDICIONAMENTO DE KITS; MATERIA PRIMA: NYLON; COR: NAS CORES PADRAO INTERNACIONAL (AZUL E LARANJA); DIMENSOES: 60CM COMPRIMENTO X 35CM ALTURA X 25CM LARGURA;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,15,BOMBA COSTAL PARA INCENDIO BOMBA COSTAL TIPO MOCHILA FLEXÍVEL BOMBA COSTAL PARA COMBATE A INCENDIO - TANQUE: CAPACIDADE MINIMA DE 19 L; ALCANCE DO JATO: MINIMO DE 10 METROS; BICO: COM REGULAGEM PARA JATO PULVERIZADO E PLENO; CAIXA DE DESPACHO: NAO APLICAVEL; CORREIAS: ALCAS ACOLCHOADAS NOS OMBROS E NA CINTURA;,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,16,BOTA ESPECIAL PARA COMBATE INCENDIO BOTA ESPECIAL PARA COMBATE INCENDIO - MATERIA-PRIMA: BORRACHA ANTIESTATICA E COURO OU PBI INCOMBUSTIVEL; SOLADO E ALCAS: ANTIDERRAPANTE ANTIPERFURANTE E COM ALCAS; PROTECAO: ANTICHAMA E ANTIESTATICA; NUMERACAO: CONFORME SOLICITACAO DO ORGAO;,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,17,"CABRESTO PARA CAPTURA DE ANIMAIS CABRESTO PARA CAPTURA DE ANIMAIS CABRESTO 7 NÓS FABRICADO EM CORDA MACIÇA DE 8MM COM REGULAGEM COMPRIMENTO: 67CM (EXCETO O CABO). FOCINHEIRA: 27CM. COMPRIMENTO DO CABO: 3,00 MT",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
