processo,uf,municipio,codigo_ibge,orgao,objeto_compra,link_portal,parecer_geral,prioridade,deve_priorizar,modo_processamento,contexto_dominante,justificativa,recomendacao_motivo,total_itens,aderencia_direta,aderencia_parcial_forte,aderencia_parcial_fraca,falso_positivo_lexical,nao_aderente,valor_estimado,valor_homologado,data_encerramento,srp,situacao,provedor,modelo,analisado_em,custo_usd,tok_in,tok_out,cache_r,cache_w,n_chamadas_llm,lat_ms_total
00394452000103-1-005968/2026,MG,Araguari,3103504,COMANDO DO EXERCITO,Registro de preços para possível contratação de Serviço de Agenciamento de Viagens.,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=16010605900062026,NAO_ADERENTE,DESCARTAR,0,llm,"Serviços de agenciamento de viagens, passagens aéreas e rodoviárias, seguros de viagem — mercado de turismo e mobilidade corporativa.","Licitação pertence ao mercado de viagens corporativas e turismo. Resgatécnica atua em equipamentos e soluções para emergências operacionais, não em serviços de agenciamento de viagens ou transporte comercial.",Licitação 100% fora do escopo comercial e operacional da Resgatécnica. Mercado de viagens corporativas incompatível com portfólio de equipamentos e soluções para emergências.,5,0,0,0,0,5,1358803.0,,2026-05-05,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:04:23,0.012211,1317,1586,60165,0,1,9995
00394452000103-1-007022/2026,MG,Uberlândia,3170206,COMANDO DO EXERCITO,"Aquisições de materiais de instrução, tiro e cerimonial, para reposição de  estoque desta  Organização  Militar,  com  a  finalidade  de  atender  a  vida vegetativa, administrativa e operacional do 36º BATALHÃO DE INFANTARIA MECANIZADO",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=16013005900022026,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de materiais de instrução, tiro e cerimonial para reposição de estoque de Batalhão de Infantaria Mecanizado do Exército Brasileiro","Licitação focada em materiais de instrução, tiro e cerimonial para uso administrativo e operacional rotineiro de unidade militar. Resgatécnica atua em resposta a emergências e operações críticas especializadas, não em suprimentos militares genéricos ou de instrução.","Licitação de suprimentos militares genéricos. Resgatécnica não é fornecedora de materiais de instrução, tiro ou cerimonial para unidades militares. Foco comercial incompatível.",1,0,0,0,1,0,622238.77,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:12:37,0.009955,1117,1062,60165,0,1,7774
00402552000126-1-000073/2026,MG,Poços de Caldas,3151800,COMISSAO NACIONAL DE ENERGIA NUCLEAR,"Contratação de fornecimento de gases especiais, incluindo locação mensal dos cilindros, necessários para sua entrega, bem como fornecimento de nitrogênio líquido a granel, nos termos da tabela constante no Termo de Referência, conforme condições e exigências estabelecidas neste instrumento. ",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=11321005900012026,NAO_ADERENTE,DESCARTAR,0,llm,"Fornecimento de gases especiais (comprimidos, misturas gasosas, nitrogênio líquido) e locação de cilindros para Comissão Nacional de Energia Nuclear",Licitação é de gases especiais para pesquisa nuclear. Resgatécnica não é distribuidora de gases industriais/medicinais genéricos.,"Licitação de gases industriais/nucleares. Resgatécnica é especialista em equipamentos de resgate e emergência, não em distribuição de gases comprimidos genéricos para pesquisa nuclear. Mercados completamente distintos.",19,0,0,0,0,19,328199.5,,2026-05-06,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:06:30,0.02094,2018,3628,60165,0,1,16890
01612500000147-1-000019/2026,MG,Ponto Chique,3152131,MUNICIPIO DE PONTO CHIQUE,CONTRATAÇÃO DE INSTITUIÇÃO FINANCEIRA TEM COMO FINALIDADE A PRESTAÇÃO DE SERVIÇOS BANCÁRIOS NECESSÁRIOS AO PROCESSAMENTO E GERENCIAMENTO DA FOLHA DE PAGAMENTO DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE PONTO CHIQUE.,https://app2.licitardigital.com.br/pesquisa/96406,NAO_ADERENTE,DESCARTAR,0,llm,Contratação de instituição financeira para serviços bancários de processamento e gerenciamento de folha de pagamento de servidores públicos municipais,"Licitação pertence exclusivamente ao mercado de serviços financeiros e administrativos. Resgatécnica é fornecedora especializada em equipamentos operacionais de emergência. Não há compatibilidade comercial, operacional ou de nicho.",Licitação completamente fora do escopo operacional e comercial da Resgatécnica. Não há oportunidade de negócio.,1,0,0,0,0,1,112583.33,,2026-04-30,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:12:53,0.009724,1164,995,60165,0,1,7586
01612516000150-1-000118/2026,MG,São Joaquim de Bicas,3162922,MUNICIPIO DE SAO JOAQUIM DE BICAS,"Registro de preços destinado a futuras aquisições de roupas e calçados, cujos itens restaram fracassados no certame anterior, para suprir as necessidades da Unidade de Acolhimento, vinculada à Secretaria Municipal de Desenvolvimento Social.",,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de roupas e calçados infantis (bermudas, bodies) para Unidade de Acolhimento vinculada à Secretaria Municipal de Desenvolvimento Social. Mercado: vestuário infantil comum, confecção genérica, acolhimento social.",Agregado de 2 lotes. Aderentes: 0/50 (0%).,Licitação é de vestuário infantil comum para acolhimento social. Resgatécnica é especializada em equipamentos técnico-operacionais de emergência. Nenhuma compatibilidade comercial real. Mercados completamente distintos.,50,0,0,0,0,50,0.0,,2026-04-30,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:17:07,0.055498,9320,9604,120330,0,2,42353
02318396000145-1-000014/2026,MG,Muriaé,3143906,DEPARTAMENTO MUNICIPAL DE SANEAMENTO URBANO - DEMSUR,"Contratação de empresa para locação mensal de conjunto gerador de hipoclorito de sódio com capacidade mínima produtiva de 72 kg de cloro ativo por dia, incluindo a manutenção preventiva e corretiva e substituição de peças",,NAO_ADERENTE,DESCARTAR,0,llm,Contratação de serviço de locação de gerador de hipoclorito de sódio para saneamento urbano municipal,"Licitação pertence ao mercado de saneamento urbano e infraestrutura municipal. Resgatécnica atua em resposta a emergências e operações críticas, não em geração de hipoclorito ou saneamento.",Licitação completamente fora do nicho comercial e operacional da Resgatécnica. Não há compatibilidade com nenhuma categoria do portfólio.,1,0,0,0,0,1,145610.0,,2026-05-04,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:04:40,0.009734,1256,979,60165,0,1,7158
04842827000101-1-000018/2026,MG,Bocaiúva,3107307,HOSPITAL MUNICIPAL DR GIL ALVES,"[Portal de Compras Públicas] - REGISTRO DE PREÇOS PARA AQUISIÇÃO MEDICAMENTOS HOSPITALARES VISANDO GARANTIR AS DEMANDAS ASSISTENCIAIS, SEM COMPROMETER A CONTINUIDADE DA ASSISTÊNCIA DOS SERVIÇOS DE SAÚDE PRESTADOS NO HOSPITAL MUNICIPAL DR. GIL ALVES DO MUNICÍPIO DE BOCAIÚVA-MG.",https://www.portaldecompraspublicas.com.br/processos/MG/Hospital-Municipal-Doutor-Gil-Alves-1334/RPE-0016-2026-2026-468609,NAO_ADERENTE,DESCARTAR,0,llm,"Licitação para registro de preços de medicamentos hospitalares (ceftriaxona, tenoxicam) para hospital municipal. Mercado: farmacêutico hospitalar genérico.","Licitação é de medicamentos hospitalares de rotina. Resgatécnica é fornecedora de equipamentos operacionais para emergências, não distribuidora de medicamentos genéricos.","Licitação de medicamentos hospitalares genéricos. Resgatécnica é especializada em equipamentos operacionais para emergências, não em farmacêutica hospitalar de rotina. Sem aderência comercial real.",2,0,0,0,0,2,926486.6,,2026-05-13,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:14:12,0.010226,1216,1110,60165,0,1,7953
10626896000172-1-000535/2025,MG,Belo Horizonte,3106200,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MINAS GERAIS","Aquisição de veículos novos para os campi do IFMG, incluindo licenciamento e emplacamento, por meio do Sistema de Registro de Preços. ",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=15812205900382025,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de veículos novos para campi de instituto federal de educação (IFMG), incluindo automóveis e van para uso administrativo/educacional","Licitação é para veículos administrativos/educacionais genéricos. Resgatécnica atua em nicho especializado de operações críticas e emergências, não em frotas institucionais comuns.",Licitação totalmente fora do nicho de operações críticas. Resgatécnica não é fornecedora de frotas administrativas ou educacionais genéricas.,3,0,0,0,0,3,0.0,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:10:59,0.010967,1182,1302,60165,0,1,9009
15126437000305-1-001200/2026,MG,Belo Horizonte,3106200,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH,Contratação de serviços de Medicina Nuclear para realização de exames de cintilografia. ,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=15502105900142026,NAO_ADERENTE,DESCARTAR,0,llm,Contratação de serviços de Medicina Nuclear para realização de exames de cintilografia por hospital público (EBSERH),"Licitação é exclusivamente de serviços de medicina nuclear/cintilografia. Resgatécnica atua em emergências, resgate e operações críticas, não em diagnóstico hospitalar ou medicina nuclear.",Licitação é de serviços de medicina nuclear. Resgatécnica não atua neste segmento. Sem compatibilidade comercial real.,12,0,0,0,0,12,0.0,,2026-04-29,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:14:03,0.016445,1610,2586,60165,0,1,12555
16726028000140-1-000027/2026,MG,Capitólio,3112802,MUNICIPIO DE CAPITOLIO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SEGURO VEICULAR PARA COBERTURA DA FROTA MUNICIPAL PERTENCENTE À CAPITÓLIO,,NAO_ADERENTE,DESCARTAR,0,llm,"Contratação de seguro veicular para cobertura de frota municipal. Serviço administrativo-financeiro de seguros, não equipamentos operacionais.",Agregado de 2 lotes. Aderentes: 0/50 (0%).,"Licitação é para contratação de seguro veicular. Resgatécnica é fornecedora de equipamentos operacionais para emergências, não seguradora. Mercados completamente distintos. Sem aderência comercial real.",50,0,0,0,0,50,630509.7,,2026-04-29,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:18:20,0.049575,4801,9027,120330,0,2,38338
